Company Name,Company Address,Company URL,Facebook page
SD Communications,"Address: House # 39 G, Sehgal Estate Block M Phase 2 Johar Town, Lahore, Punjab",no,https://www.facebook.com/SDCOMS
The Linkers Group,"Address: 253A, Block H-3 Block H 3 Phase 2 Johar Town, Lahore, Punjab",no,https://www.facebook.com/thelinkersgroup
Shukar Business Setup - Pakistan,"Address: Plot 126 Block B2, Johar, Block B2 Block B 2 Phase 1 Town, Lahore, Punjab 54600",https://shukar.com.pk/,https://www.facebook.com/shukarbusinesssetuppak
Afshan's,"Address: 416, Block B2 Block B 2 Phase 1 Johar Town, Lahore, Punjab 54600",http://afshans.com/,https://www.facebook.com/afshansnest
Bilytica Pakistan,"Address: Ali Center , First Floor , 384 E, Johar Town, Lahore, 54000",https://www.bilytica.com/,https://www.facebook.com/bilytica/
Jamil Sons Group,"Address: House# 125B, BOR Main Rd, Johar Town, Lahore, Punjab 54782",no,no
Rehman Techno,"Address: 384-E, Block E Johar Town, Lahore, 54000",http://www.rehmaantechno.com/,https://www.facebook.com/RehmanTechno
Google Workspace Pakistan - Business Apps & Collaboration Tools,"Address: 402, Block D2 Phase 1 Johar Town, Lahore, 54000",https://gworkspace.pk/,https://www.facebook.com/gworkspace.pk
Xpert Global Tech,"Address: Block C Block C 2 Phase 1 Johar Town, Lahore, Punjab 54782",https://xglobaltech.com/,https://www.facebook.com/xpertglobaltech
Management and Business Excellence Consultancy,"Address: 418, Block B2 Block B 2 Phase 1 Johar Town, Lahore, Punjab 54000",https://www.mnbec.com/,https://www.facebook.com/mnbec
Mustafa Khan & Company,"Address: House 468ØŒ, Block G Phase 1 Johar Town, Lahore, Punjab",https://mk.com.pk/,no
Saabeqoon Inc,"Address: 576 Block Q, Phase 2 Johar Town, Lahore, Punjab 54700",https://saabeqoon.com/,https://www.facebook.com/saabeqoonpk/